phrase,phrase_compact,count,phrase_len,n_pred_hits
đến các nước tư bản đa đảng dân họ còn dám biểu tình đập phá nên họ mới có thể đứng ở phía trên,đếncácnướctưbảnđađảngdânhọcòndámbiểutìnhđậpphánênhọmớicóthểđứngởphíatrên,1,72,0
"phải chi nhật có một vị ""cha già dân tộc"" như ông hồ thì giờ đã phát triển ngang ngữa đông lào",phảichinhậtcómộtvịchagiàdântộcnhưônghồthìgiờđãpháttriểnngangngữađônglào,1,71,0
"quan chức ở tù cũng sướng.. có trà bưng nước rót, ở phòng riêng, người nhà vô chơi thoải mái",quanchứcởtùcũngsướngcótràbưngnướcrótởphòngriêngngườinhàvôchơithoảimái,1,69,0
cứ quán nhậu mọc nhiều hơn thư viện sách thì dân có ngu cũng phải cho mình là thông minh,cứquánnhậumọcnhiềuhơnthưviệnsáchthìdâncóngucũngphảichomìnhlàthôngminh,1,69,0
dạy cho cựu vdv nay vô gu ghồ tìm hiểu xem mảnh vải đỏ có hình sao vàng là cờ của nước nào,dạychocựuvdvnayvôgughồtìmhiểuxemmảnhvảiđỏcóhìnhsaovànglàcờcủanướcnào,1,68,0
thằng khuyết tật đầu ngoẹo sang một bên vẫn được làm quan thái thú cai trị một dân tộc,thằngkhuyếttậtđầungoẹosangmộtbênvẫnđượclàmquantháithúcaitrịmộtdântộc,1,68,0
mọi chuyện sẽ được che chắn nếu chủ trường là con gái của tướng vệ và thủ tướng phúc,mọichuyệnsẽđượcchechắnnếuchủtrườnglàcongáicủatướngvệvàthủtướngphúc,1,66,0
"phải dương tính covid-19 thì mới thấy được giá trị của cuộc sống,thay đổi thái độ",phảidươngtínhcovid19thìmớithấyđượcgiátrịcủacuộcsốngthayđổitháiđộ,1,64,0
bọn trẻ con nó còn biết về thực tại xã hội chính trị còn mấy ông ấy ấy lại ô cần biết,bọntrẻconnócònbiếtvềthựctạixãhộichínhtrịcònmấyôngấyấylạiôcầnbiết,1,64,0
công nghệ làm sạch môi trường của nhật cản trở tham nhũng của công chức búa liềm,côngnghệlàmsạchmôitrườngcủanhậtcảntrởthamnhũngcủacôngchứcbúaliềm,1,64,0
các em nầy khi vào báo “công ngủ” với ác hồ thì phải chỉa vào mặt ác hồ như thế nầy nè,cácemnầykhivàobáocôngngủvớiáchồthìphảichỉavàomặtáchồnhưthếnầynè,1,63,0
"bảo yêu nước, thương nước, xong đi du lịch về lây bệnh cho nước mà là yêu nước à",bảoyêunướcthươngnướcxongđidulịchvềlâybệnhchonướcmàlàyêunướcà,1,60,0
muốn dân hết khổ thì cho vài ba trận đá banh thì dân cứ bão với lũ là hết thôi,muốndânhếtkhổthìchovàibatrậnđábanhthìdâncứbãovớilũlàhếtthôi,1,59,0
sao các anh khác xa mấy con ....(định bảo con chó nhung thấy xúc phạm con chó quá),saocácanhkhácxamấyconđịnhbảoconchónhungthấyxúcphạmconchóquá,1,59,0
cô bé phóng viên như thể sắp bợp cho ngài lãnh đạo 1 tai cho chừa ngu người,côbéphóngviênnhưthểsắpbợpchongàilãnhđạo1taichochừangungười,1,58,0
"người khổ, rất khổ là nhờ ơn sự lãnh đạo của đám ngợm cộng sản đoảng và boác",ngườikhổrấtkhổlànhờơnsựlãnhđạocủađámngợmcộngsảnđoảngvàboác,1,58,0
"phải có ""liềm"" tin tuyệt đối vào đường nối chính sách của đoảng trung khựa",phảicóliềmtintuyệtđốivàođườngnốichínhsáchcủađoảngtrungkhựa,1,58,0
"kẻ nào giỏi phá , ăn chơi , mất dạy , lưu manh , đều là bằng cấp lảnh đạo việt nam",kẻnàogiỏipháănchơimấtdạylưumanhđềulàbằngcấplảnhđạoviệtnam,1,57,0
không ngã cầu thang và có chứng nhận tâm thần thì có thể sống khá là dai,khôngngãcầuthangvàcóchứngnhậntâmthầnthìcóthểsốngkhálàdai,1,56,0
của các em ý đều là nước nôi rất ít mà lại ko chịu cảnh giác vấn đề củi lửa,củacácemýđềulànướcnôirấtítmàlạikochịucảnhgiácvấnđềcủilửa,1,56,0
lũ cầu cá móng phèn vô học mất dạy lại tham tiền vô đối bất chấp sĩ diện,lũcầucámóngphènvôhọcmấtdạylạithamtiềnvôđốibấtchấpsĩdiện,1,55,0
ô nao cug muốn ở phưởng cơ quan có ô nào muốn lò mặt ra ngoài để điều tra,ônaocugmuốnởphưởngcơquancóônàomuốnlòmặtrangoàiđểđiềutra,1,55,0
"cứ tập trận như đúng rồi, sợ dân ta đến biểu tình nên phải làm vậy đây mà",cứtậptrậnnhưđúngrồisợdântađếnbiểutìnhnênphảilàmvậyđâymà,1,55,0
uống nước thải qua đường ống làm bằng vật liệu phế thải trung quốc,uốngnướcthảiquađườngốnglàmbằngvậtliệuphếthảitrungquốc,1,53,0
tưởng mình là hoàng thân quốc thích của bên tàu bên mĩ j còn tồn tại,tưởngmìnhlàhoàngthânquốcthíchcủabêntàubênmĩjcòntồntại,1,53,0
bà con ở thiên đường cứ học cái tính càm ràm vớ vẫn của bọn giãy chết,bàconởthiênđườngcứhọccáitínhcàmràmvớvẫncủabọngiãychết,1,53,0
diệt chủng mà mấy triệu tín đồ vẫn tin là doanh nhân hay danh nhân,diệtchủngmàmấytriệutínđồvẫntinlàdoanhnhânhaydanhnhân,1,52,0
người dân ngày đêm cày kéo làm để trả nợ thay cho lũ ăn tàn phá hoại,ngườidânngàyđêmcàykéolàmđểtrảnợthaycholũăntànpháhoại,1,52,0
làm riêng một phần nghĩa địa để trôn riêng những người cộng sản,làmriêngmộtphầnnghĩađịađểtrônriêngnhữngngườicộngsản,1,51,0
người theo cộng sản là quỷ đội lốt người có tội đồ lớn với dân tộc,ngườitheocộngsảnlàquỷđộilốtngườicótộiđồlớnvớidântộc,1,51,0
đàn bà dễ có mấy tay_dinh thự của nữ đội trưởng đội chống buôn lậu,đànbàdễcómấytaydinhthựcủanữđộitrưởngđộichốngbuônlậu,1,51,0
chỉ biết đứng đó nhìn xem gió thổi chiều nào ta bay theo chiều đó,chỉbiếtđứngđónhìnxemgióthổichiềunàotabaytheochiềuđó,1,51,0
việt nam sẽ là nước đứng tóp đầu về nước đáng khinh nhất thế giới,việtnamsẽlànướcđứngtópđầuvềnướcđángkhinhnhấtthếgiới,1,51,0
có não thì nên sử dụng chứ cứ để nó đóng thành bê tông thì lại phí,cónãothìnênsửdụngchứcứđểnóđóngthànhbêtôngthìlạiphí,1,50,0
làm kiểu ta đây giàu đi chơi du lịch qua mấy vùng dịch chơi ấy mà,làmkiểutađâygiàuđichơidulịchquamấyvùngdịchchơiấymà,1,50,0
đứng về phía thế lực thù địch tức là thân địch tức là chống đảng,đứngvềphíathếlựcthùđịchtứclàthânđịchtứclàchốngđảng,1,50,0
mấy ông áo vàng cho lính đánh xe taxi chặn đường để bắt sai làn,mấyôngáovàngcholínhđánhxetaxichặnđườngđểbắtsailàn,1,49,0
cộng sản mạnh nhất ở điểm là tạo ngôn luận ảnh hưởng mọi người,cộngsảnmạnhnhấtởđiểmlàtạongônluậnảnhhưởngmọingười,1,49,0
hãy nhìn ánh sáng của đảng và quên đi sự bất công của cuộc sống,hãynhìnánhsángcủađảngvàquênđisựbấtcôngcủacuộcsống,1,49,0
người e yêu thương k phải bố cũng chẳng phải mẹ.mà là chú bộ đội,ngườieyêuthươngkphảibốcũngchẳngphảimẹmàlàchúbộđội,1,49,0
thả nó và khu bảo tồn thiên nhiên cho về với giống loài của nó,thảnóvàkhubảotồnthiênnhiênchovềvớigiốngloàicủanó,1,48,0
"giải độc cộng sản đã khó, giải độc tư tưởng cánh tả còn khó hơn",giảiđộccộngsảnđãkhógiảiđộctưtưởngcánhtảcònkhóhơn,1,48,0
"cs nghèo chỉ có tiền ăn bánh mì, ko có tiền làm tường chắn gió",csnghèochỉcótiềnănbánhmìkocótiềnlàmtườngchắngió,1,47,0
vượng vin đang làm chủ đất việt chứ không phải bộ chính trị,vượngvinđanglàmchủđấtviệtchứkhôngphảibộchínhtrị,1,47,0
hãy tin vào sự lãnh đạo tài tình của đảng và bộ máy nhà nước,hãytinvàosựlãnhđạotàitìnhcủađảngvàbộmáynhànước,1,46,0
chừng nào tính được 200 tỉ mà ăn được bn mới làm lãnh đạo đc,chừngnàotínhđược200tỉmàănđượcbnmớilàmlãnhđạođc,1,46,0
không phải vì bạn xúc phạm họ mà vì bạn đã lộ bí mật quốc gia,khôngphảivìbạnxúcphạmhọmàvìbạnđãlộbímậtquốcgia,1,46,0
"ăn k nói có mà cũng bày đặt đẻ con,giáo dục con,cho con di học",ănknóicómàcũngbàyđặtđẻcongiáodụcconchocondihọc,1,46,0
kêu gọi đc cả đống tiền như ngta k mà ngồi rảnh lồn đi phán,kêugọiđccảđốngtiềnnhưngtakmàngồirảnhlồnđiphán,1,45,0
chờ anh gd tung sản phẩm đã khi đó tùng mới có ý tưởng ra mv,chờanhgdtungsảnphẩmđãkhiđótùngmớicóýtưởngramv,1,45,0
bánh tráng chỉ xếp thứ 2 sau pha lật mặt của vũ khắc tiệp,bánhtrángchỉxếpthứ2sauphalậtmặtcủavũkhắctiệp,1,44,0
"bò ơi nghỉ lại đi, chứ đừng để bị làm nội tạng cho giặc tàu",bòơinghỉlạiđichứđừngđểbịlàmnộitạngchogiặctàu,1,44,0
loại viết chính tả còn không rành còn đòi bàn chính trị,loạiviếtchínhtảcònkhôngrànhcònđòibànchínhtrị,1,44,0
giàu mà ăn mặc lạ lùng ghê k bằng ăn mặc quê mùa như mình,giàumàănmặclạlùngghêkbằngănmặcquêmùanhưmình,1,43,0
tầng lớp thanh niên vn bị cs dắt mũi như những con lừa,tầnglớpthanhniênvnbịcsdắtmũinhưnhữngconlừa,1,42,0
ra sức phấn đấu làm trâu chó ngựa cho người ta sai bảo,rasứcphấnđấulàmtrâuchóngựachongườitasaibảo,1,42,0
con mụ bộ y tế khóc khi bệnh nhân uống phải thuốc giả,conmụbộytếkhóckhibệnhnhânuốngphảithuốcgiả,1,41,0
có tiền mà k giám tiêu. toàn gửi ngân hàng nước ngoài,cótiềnmàkgiámtiêutoàngửingânhàngnướcngoài,1,41,0
cái mặt mình nhìn chung ko có 1 chỗ nào thiện cảm hết,cáimặtmìnhnhìnchungkocó1chỗnàothiệncảmhết,1,41,0
"hấp hối vì hết tiền, nợ ngập đầu, tài nguyên cạn kiệt",hấphốivìhếttiềnnợngậpđầutàinguyêncạnkiệt,1,40,0
"sống nước này, nước kia,quốc tịch này quốc tịch kia",sốngnướcnàynướckiaquốctịchnàyquốctịchkia,1,40,0
ý thức của chị nhung còn ít hơn cả nhân bánh mì của t,ýthứccủachịnhungcòníthơncảnhânbánhmìcủat,1,40,0
nước rửa cầu tiêu mà tưởng mình là sân siêu bột kết,nướcrửacầutiêumàtưởngmìnhlàsânsiêubộtkết,1,40,0
nếu có ảnh hưởng thì chỉ ảnh hưởng cán bộ lãnh đạo,nếucóảnhhưởngthìchỉảnhhưởngcánbộlãnhđạo,1,39,0
không khác gì một con vi rút luôn luôn gây mệt mỏi,khôngkhácgìmộtconvirútluônluôngâymệtmỏi,1,39,0
loại này cho vài trái sầu riêng vào mặt là còn nhẹ,loạinàychovàitráisầuriêngvàomặtlàcònnhẹ,1,39,0
óc của thằng ad dc cấu tạo từ cức các loại động vật,óccủathằngaddccấutạotừcứccácloạiđộngvật,1,39,0
coi chừng con cháu ông pà của pà .... ở địa ngục chờ pà,coichừngconcháuôngpàcủapàởđịangụcchờpà,1,38,0
bệnh thành tích và gia đình trị con ông cháu cha,bệnhthànhtíchvàgiađìnhtrịconôngcháucha,1,38,0
tham nhũng đã được chặn ko cho dân phát hiện nữa,thamnhũngđãđượcchặnkochodânpháthiệnnữa,1,38,0
dân bầu sai lãnh đạo thì chẳng lẽ là lãnh đạo sai,dânbầusailãnhđạothìchẳnglẽlàlãnhđạosai,1,38,0
liếm ko từ 1 cái gì cả cứt và lá xoan cũng liếm nốt,liếmkotừ1cáigìcảcứtvàláxoancũngliếmnốt,1,38,0
mạng của bọn nó là vàng còn với dân đen như cỏ rác,mạngcủabọnnólàvàngcònvớidânđennhưcỏrác,1,38,0
làm j có ích tí chứ đừng có giống mấy bạn hàn quốc,làmjcóíchtíchứđừngcógiốngmấybạnhànquốc,1,38,0
đến con chó nó còn có ý cầu tiến>>chán lãnh đạovn,đếnconchónócòncóýcầutiếnchánlãnhđạovn,1,37,0
cuộc đời sài chai nước hoa chính hãng chưa nữa,cuộcđờisàichainướchoachínhhãngchưanữa,1,37,0
sinh con đẻ cái có khi còn không có lỗ đít để đi ị,sinhconđẻcáicókhicònkhôngcólỗđítđểđiị,1,37,0
giặc tra tấn dã man thế nào cũng không mở mồm có #,giặctratấndãmanthếnàocũngkhôngmởmồmcó,1,37,0
lôi bệnh tâm thần ra làm lá che chắn để chối tội,lôibệnhtâmthầnralàmláchechắnđểchốitội,1,37,0
chưa bở phiếu mà đã cơ cấu 4 chức vụ chủ chốt rồi,chưabởphiếumàđãcơcấu4chứcvụchủchốtrồi,1,37,0
nhìn nhà tiên tri vủ trụ trần dần giống con chó,nhìnnhàtiêntrivủtrụtrầndầngiốngconchó,1,37,0
cướp tiền 1 cách công khai để đút vào túi mình,cướptiền1cáchcôngkhaiđểđútvàotúimình,1,36,0
để bk k phải nuôi nk như bọn chúng từng lếu láo,đểbkkphảinuôinknhưbọnchúngtừnglếuláo,1,36,0
trời đã sinh ra tuấn tại sao còn sinh ra tiệp,trờiđãsinhratuấntạisaocònsinhratiệp,1,35,0
ăn rồi bị họ chửi rủa như chó mà cũng lầy hoài,ănrồibịhọchửirủanhưchómàcũnglầyhoài,1,35,0
không có bằng cấp 3 nhưng lý luận ct rất giỏi,khôngcóbằngcấp3nhưnglýluậnctrấtgiỏi,1,35,0
ko có tiền ko có quan hệ thì cũng thất nghiệp,kocótiềnkocóquanhệthìcũngthấtnghiệp,1,35,0
con ngựa bị che bớt mắt để chỉ đi đường thẳng,conngựabịchebớtmắtđểchỉđiđườngthẳng,1,35,0
ý thức của chị còn thấp hơn cả điểm hoá của em,ýthứccủachịcònthấphơncảđiểmhoácủaem,1,35,0
xứ thiên đường cái lol gì cũng hơi tí là phạt,xứthiênđườngcáilolgìcũnghơitílàphạt,1,35,0
làm như giàu lắm hay sao mà khoe của thấy ghê,làmnhưgiàulắmhaysaomàkhoecủathấyghê,1,35,0
coi thử có đi răng hàm mặt chỉnh hình không,coithửcóđirănghàmmặtchỉnhhìnhkhông,1,34,0
lời nói nhanh hơn não là biết con người ntn,lờinóinhanhhơnnãolàbiếtconngườintn,1,34,0
hà nội sẽ đc đổi tên thành tp mao trạch đông,hànộisẽđcđổitênthànhtpmaotrạchđông,1,34,0
rút đc kinh nghiệm hết lần này qua lần khác,rútđckinhnghiệmhếtlầnnàyqualầnkhác,1,34,0
tổ sư con dở ng nghĩ mình hài hước hay lòn gì,tổsưcondởngnghĩmìnhhàihướchaylòngì,1,34,0
đi ngược với chính sách ngu dân chỉ có chết,đingượcvớichínhsáchngudânchỉcóchết,1,34,0
dek biết phân biệt sai trái sự thật giả dối,dekbiếtphânbiệtsaitráisựthậtgiảdối,1,34,0
ko ở xứ thiên đường mà trốn ở lại xứ dẫy chết,koởxứthiênđườngmàtrốnởlạixứdẫychết,1,34,0
theo công giáo nên suốt ngày thiên đường,theocônggiáonênsuốtngàythiênđường,1,33,0
dân mình khi nào mới thoát khỏi sự cai trị,dânmìnhkhinàomớithoátkhỏisựcaitrị,1,33,0
xe chở tiền nó lùi vào tận cửa phòng khách,xechởtiềnnólùivàotậncửaphòngkhách,1,33,0
dân nghèo rớt ra xây cái nhà ga 900mil usd,dânnghèorớtraxâycáinhàga900milusd,1,33,0
con ốc làm chưa được nhưng thích chém gió,conốclàmchưađượcnhưngthíchchémgió,1,33,0
tẩu tán cất giấu mấy ngàn tỷ vào túi riêng,tẩutáncấtgiấumấyngàntỷvàotúiriêng,1,33,0
+ sản đã làm cho nhân dân bị bệnh kiệt kháng,sảnđãlàmchonhândânbịbệnhkiệtkháng,1,33,0
đất nước yên bình.môi trường sạch đẹp nhé,đấtnướcyênbìnhmôitrườngsạchđẹpnhé,1,33,0
đâu có ảnh hưởng miếng cơm manh áo nhà bạn,đâucóảnhhưởngmiếngcơmmanháonhàbạn,1,33,0
diễn hài chỉ đáng xách dép quan chức việt,diễnhàichỉđángxáchdépquanchứcviệt,1,33,0
không thể bắt kịp nền văn minh nhân loại,khôngthểbắtkịpnềnvănminhnhânloại,1,32,0
lam di 9 phuong con 1 phuong de lay chong,lamdi9phuongcon1phuongdelaychong,1,32,0
nên vào tù ở trước thay vì gặp người khác,nênvàotùởtrướcthayvìgặpngườikhác,1,32,0
dân thích làm nô lệ .chưa thích làm người,dânthíchlàmnôlệchưathíchlàmngười,1,32,0
mang thẳng vào nhà hoả táng mà cách biệt,mangthẳngvàonhàhoảtángmàcáchbiệt,1,32,0
ngta nhiều lắm có 2 mặt đằng này tận 4 mặt,ngtanhiềulắmcó2mặtđằngnàytận4mặt,1,32,0
kể tài sản của ng khác rồi xạo lozzz của mk,kểtàisảncủangkhácrồixạolozzcủamk,1,32,0
nước ung thư cao thế giới toàn eu với mỹ,nướcungthưcaothếgiớitoàneuvớimỹ,1,31,0
đất nước sẽ đi về đâu vs những thằng ngu,đấtnướcsẽđivềđâuvsnhữngthằngngu,1,31,0
đế quốc quẫy muốn chết chứ ở đó rẫy chết,đếquốcquẫymuốnchếtchứởđórẫychết,1,31,0
thằng ăn cướp mà còn mang huy hiệu đảng,thằngăncướpmàcònmanghuyhiệuđảng,1,31,0
đứa ca sĩ nước mỹ mặc áo dài không quần ý,đứacasĩnướcmỹmặcáodàikhôngquầný,1,31,0
2 cái lỗ mũi to zậy mà vẫn thấy ngột ngạt,2cáilỗmũitozậymàvẫnthấyngộtngạt,1,31,0
ca sĩ duy nhất trên thế giới mà k cần hát,casĩduynhấttrênthếgiớimàkcầnhát,1,31,0
đừng như bây giờ tên cũng không dám gọi,đừngnhưbâygiờtêncũngkhôngdámgọi,1,31,0
mỗi lãnh đạo chắc chắn có máy bay riêng,mỗilãnhđạochắcchắncómáybayriêng,1,31,0
phân biệt vùng miền bàn phím vãi lồng,phânbiệtvùngmiềnbànphímvãilồng,1,30,0
những người khốn khổ tại thiên đường,nhữngngườikhốnkhổtạithiênđường,1,30,0
thầy bar ko có não vẫn sống như thường,thầybarkocónãovẫnsốngnhưthường,1,30,0
"ổ chứa dịch của bọn rich kid ,việt kiều",ổchứadịchcủabọnrichkidviệtkiều,1,30,0
như mấy ông trại tâm thần nghịch kiến,nhưmấyôngtrạitâmthầnnghịchkiến,1,30,0
loại ngồi một chỗ phán xét người khác,loạingồimộtchỗphánxétngườikhác,1,30,0
mong chúng nhân từ đưa ra miếng xương,mongchúngnhântừđưaramiếngxương,1,30,0
nghĩ mình là công chúa các thứ các thứ,nghĩmìnhlàcôngchúacácthứcácthứ,1,30,0
corona tất nhiên là sẽ tới thăm viếng,coronatấtnhiênlàsẽtớithămviếng,1,30,0
ước gì sự giàu có tỷ lệ thuận với ý thức,ướcgìsựgiàucótỷlệthuậnvớiýthức,1,30,0
ý thức còn ít hơn cả số tiền trong túi t,ýthứccòníthơncảsốtiềntrongtúit,1,30,0
kí 1 cái là đc cả trăm tỉ mà éo phải đi tù,kí1cáilàđccảtrămtỉmàéophảiđitù,1,30,0
chôn chất thải độc hại gần nguồn nước,chônchấtthảiđộchạigầnnguồnnước,1,30,0
thành phần như m tốt nhất nhập tịch tq,thànhphầnnhưmtốtnhấtnhậptịchtq,1,30,0
nhìu cái siêu z mà thíu cái siêu thoát,nhìucáisiêuzmàthíucáisiêuthoát,1,30,0
mồm độc miệng.hung dữ.nói tục chửi thề,mồmđộcmiệnghungdữnóitụcchửithề,1,30,0
ý thức của chị nhung còn thua điểm lí,ýthứccủachịnhungcònthuađiểmlí,1,29,0
lên chức để nhét con cháu vào thây bã,lênchứcđểnhétconcháuvàothâybã,1,29,0
nó xấu mà ko giấy nào bút nào mà tả nổi,nóxấumàkogiấynàobútnàomàtảnổi,1,29,0
chua bao giờ người lại rẽ như bây giờ,chuabaogiờngườilạirẽnhưbâygiờ,1,29,0
ý thức của người vn quá yếu và quá kém,ýthứccủangườivnquáyếuvàquákém,1,29,0
giàu có thiệt nhưng có giúp đỡ ai đâu,giàucóthiệtnhưngcógiúpđỡaiđâu,1,29,0
biến cái lỗ mồm ông thành cái bể phốt,biếncáilỗmồmôngthànhcáibểphốt,1,29,0
đua đòi theo các nước kém phát triển,đuađòitheocácnướckémpháttriển,1,29,0
con người chứ có phải con trâu con bò,conngườichứcóphảicontrâuconbò,1,29,0
ý thức của nó thấp hơn điểm hóa của em,ýthứccủanóthấphơnđiểmhóacủaem,1,29,0
trước khi làm gì cũng nên lắp não vào,trướckhilàmgìcũngnênlắpnãovào,1,29,0
bị dí súng vào đầu như bên trung đông,bịdísúngvàođầunhưbêntrungđông,1,29,0
vô ý thức không chừa một độ tuổi nào,vôýthứckhôngchừamộtđộtuổinào,1,28,0
chính quyền vn rất có tính giải trí,chínhquyềnvnrấtcótínhgiảitrí,1,28,0
sản phẩm của 1 nền giáo dục thối nát,sảnphẩmcủa1nềngiáodụcthốinát,1,28,0
mùa chuối sẽ cùng nhau về phụt cuốc,mùachuốisẽcùngnhauvềphụtcuốc,1,28,0
loại này tử hình luôn cách ly làm gì,loạinàytửhìnhluôncáchlylàmgì,1,28,0
trộn chất độc vào để tăng lợi nhuận,trộnchấtđộcvàođểtănglợinhuận,1,28,0
không bẩn thỉu không phải cộng sản,khôngbẩnthỉukhôngphảicộngsản,1,28,0
cái mặt của mày nhìn như trái hủ qua,cáimặtcủamàynhìnnhưtráihủqua,1,28,0
dưới bàn tay đen đúa của tuyên giáo,dướibàntayđenđúacủatuyêngiáo,1,28,0
"chính ""đồng bào"" ta cũng nổi hết da gà",chínhđồngbàotacũngnổihếtdagà,1,28,0
thất bại của việc bố mẹ mày làm tình,thấtbạicủaviệcbốmẹmàylàmtình,1,28,0
trai không ra trai.gai không ra gái,traikhôngratraigaikhôngragái,1,28,0
làm gì có văn hóa mà lập ra bộ văn hóa,làmgìcóvănhóamàlậprabộvănhóa,1,28,0
bon bao ve chi la may con cho giu cua,bonbaovechilamayconchogiucua,1,28,0
cho vào rừng sống lại với bản năng,chovàorừngsốnglạivớibảnnăng,1,27,0
tphcm trong tương lai sẽ là thủ đô,tphcmtrongtươnglaisẽlàthủđô,1,27,0
mo miệng ra nghe thui như dong cuc,momiệngranghethuinhưdongcuc,1,27,0
học chả hết cấp 1 mà cũng có bằng đh,họcchảhếtcấp1màcũngcóbằngđh,1,27,0
gây hiệu ứng đám đông để nôi tiếng,gâyhiệuứngđámđôngđểnôitiếng,1,27,0
tìm người thân quen để bỏ phong bì,tìmngườithânquenđểbỏphongbì,1,27,0
con trâu bị xỏ mủi để dể điều khiển,contrâubịxỏmủiđểdểđiềukhiển,1,27,0
còn cọp ăn con hươu thì đeoa bắt đc,còncọpănconhươuthìđeoabắtđc,1,27,0
chị có chim không .... sao nhìn gớm gớm,chịcóchimkhôngsaonhìngớmgớm,1,27,0
quan nhà sản có khác...bị khuyết tật,quannhàsảncókhácbịkhuyếttật,1,27,0
làm như ở dưới gầm giường người ta,làmnhưởdướigầmgiườngngườita,1,27,0
chả có tí máu lồn nào gọi là văn hóa,chảcótímáulồnnàogọilàvănhóa,1,27,0
"cứ như mấy con bò đỏ, bị thuần chủng",cứnhưmấyconbòđỏbịthuầnchủng,1,27,0
người trình độ lớp ba trường làng,ngườitrìnhđộlớpbatrườnglàng,1,27,0
chửi người ta làm sao mày gánh hết,chửingườitalàmsaomàygánhhết,1,27,0
"dân trả nợ , chứ các lãnh đạo đâu trả",dântrảnợchứcáclãnhđạođâutrả,1,27,0
giàu thường hay quên cách ăn mặc á,giàuthườnghayquêncáchănmặcá,1,27,0
ko có bôi trơn thì sao mà nhận thầu,kocóbôitrơnthìsaomànhậnthầu,1,27,0
nó khác gì cách đảng cs chọn người,nókhácgìcáchđảngcschọnngười,1,27,0
"tên của nó là bảo hiểm "" bắt buộc "" mà",têncủanólàbảohiểmbắtbuộcmà,1,26,0
ke khung bo lai cam co do sao vang,kekhungbolaicamcodosaovang,1,26,0
đúng sai mà còn k biết thì biết gì,đúngsaimàcònkbiếtthìbiếtgì,1,26,0
bọn dân đen như các ông thì làm gì,bọndânđennhưcácôngthìlàmgì,1,26,0
không hèn không phải là cộng sản,khônghènkhôngphảilàcộngsản,1,26,0
