sample_id,label_id,label_name,text_norm,matched_phrase,has_phrase_hit
vihsd_test_28,0,CLEAN,mong thầy chỉ đóng mv thôi :v,hôi,True
vihsd_test_29,0,CLEAN,tấu hài 😂😂,tấu hài,True
vihsd_test_30,0,CLEAN,@anh nguyen tuan đúng rồi hihi,ngu,True
vihsd_test_31,0,CLEAN,doi truong cao bang,doi,True
vihsd_test_32,1,OFFENSIVE,trần linh dell hiểu kiểu gì :)),dell,True
vihsd_test_34,1,OFFENSIVE,"k nói thì tự kiêu,nói thì lại tự ái chứ í thức thế ai mà chịu nổi😡",tự kiêu,True
vihsd_test_35,0,CLEAN,chán thực sự =))),chán,True
vihsd_test_37,0,CLEAN,"cô nói chuyện tự nhiên, dễ thuơng xem thích ghê",ghê,True
vihsd_test_38,2,HATE,hanh viet hết cái bọn cực kì thuyết phục bây giờ lại đến bọn : “ ở nhà giúp mẹ giúp cha.... “ xàm lol như nhau cả thôi,xàm lol,True
vihsd_test_40,0,CLEAN,sói said: “ daddy finger where are you?” “here i am! “ =)),ói,True
vihsd_test_41,0,CLEAN,best cà khịa,khịa,True
vihsd_test_42,0,CLEAN,nguyễn thị thủy chó con chứ dúi đâu ra,con c,True
vihsd_test_44,0,CLEAN,buồn cười,buồn cười,True
vihsd_test_46,0,CLEAN,thầy tự đạp đổ chén cơm chứ ai thèm cướp :) đang yên đang lành tự nhiên gáy đấy chứ :3,cướp,True
vihsd_test_48,0,CLEAN,chi ba và hiếu minh 2 người thương nhau như chị em ruột; hiếu minh quay clip nhận quà của chị ba cho quá trời luôn. hiếu minh còn hứa cho chị ba 1 miếng đất và sợi dây chuyền 10 cây nữa mà. hứa là nhớ giữ lời đó.đúng là sống với nhau bằng tình nghĩa chân thật.,cho,True
vihsd_test_49,0,CLEAN,co ba oi co giau lam vay co giup nhung nguoi kho giong nku tui con di co,con di,True
vihsd_test_50,0,CLEAN,nguyễn thị tươi thắm đó bạn,ngu,True
vihsd_test_51,0,CLEAN,ai hiểu lắm anh dạ nói em nghe em nói với người đó giùm cho,cho,True
vihsd_test_52,0,CLEAN,cảm ơn thầy ba,ba,True
vihsd_test_53,0,CLEAN,thích nhất bài chiếc khăn gió ấm 🌬,chi,True
vihsd_test_55,0,CLEAN,đập què giò đi a ba,đập,True
vihsd_test_56,0,CLEAN,sela kit clear petland phụ đạo để abe làm hết😎,đạo,True
vihsd_test_57,0,CLEAN,nguyễn ngọc linh xét nghiệm mất 10 tiếng mới có kp.ai rảnh để xếp hàng đợi 10 tiếng mới được hiến máu đâu,ngu,True
vihsd_test_58,0,CLEAN,toàn thánh phán,thánh,True
vihsd_test_59,0,CLEAN,"chi bà nhiều tiền thì đi làm từ thiện,còn ơ đó nói tục tiểu, giơ bẩn. làm nhục người vn trên thế giới. làm bai hoại nền văn hóa vn. xin yêu các cấp có thẩm quyền vào cuộc sử lý.",tục tiểu,True
vihsd_test_60,1,OFFENSIVE,một phút bóc đồng bằng cả đời bóc cức 😂,bóc cức,True
vihsd_test_61,0,CLEAN,tết đi sắm đồ tết,tế,True
vihsd_test_62,0,CLEAN,aba hát hay quá!!! nghe xong xỉu luôn,xỉu,True
vihsd_test_64,1,OFFENSIVE,éo thích thì biến đi thọc con mắt chóng cái tai lên xem làm ghì,thọc con mắt chóng cái tai,True
vihsd_test_67,0,CLEAN,bà này nói đúng mà bà đó đi làm o sin gửi tiền đô về việt nam hưởng chứ tiền việt nam lam gì có giá trị tuy bà nói chuyện thô lỗ tí nhưng mà bà nói đúng mà...,nó,True
vihsd_test_69,2,HATE,ôi bố cái lũ thanh niên hãm lol. đẹp mặt quá 😒😒,cái lũ,True
vihsd_test_71,0,CLEAN,duy linh mình ra sân bay đi mà gặp 10 thằng tây thì chỉ 2 người tây chiệu đeo khẩu trang thôi 😂,thằng,True
vihsd_test_72,0,CLEAN,cây bút đẹp vl,vl,True
vihsd_test_73,0,CLEAN,mấy ông sống nhanh thế =))),mấy,True
vihsd_test_74,0,CLEAN,mặt chị nhìn sợ hơn mặt ông kia á 😞,ông,True
vihsd_test_75,2,HATE,trước sau j cũng đi theo phúc xạo lol,xạo lol,True
vihsd_test_76,2,HATE,theo trung cộng đi rồi đến lúc ko còn lợi dụng đc bà sẽ thấy cảnh. hãy nhớ câu đừng nghe những gì cs nói mà..😂😂😂,đừng nghe những gì cs nói,True
vihsd_test_77,0,CLEAN,công an mà muốn xử lý thì 2 ông luật sư này sẽ biến mất ngay lập tức. chứ chả phải bị đánh giữa đường rồi chụp ảnh máu me post lên mạng rầm rầm đâu,bị đánh,True
vihsd_test_79,0,CLEAN,"dấu hậu cần kìa, nội bộ thôi",hôi,True
vihsd_test_80,2,HATE,"riết thằng ad chửi nhảm quá, cp1 gì thì chửi bệnh viện. lôi cả cái đất nước vào làm gì :))",chửi nhảm,True
vihsd_test_83,0,CLEAN,tao bó tay.....:v,bó tay,True
vihsd_test_84,0,CLEAN,tết có hay không quan trọng nhất vẫn là do anh thợ cắt tóc tò phạm :)),không,True
vihsd_test_85,0,CLEAN,ai mua cốc với tui hemmm,tui,True
vihsd_test_86,0,CLEAN,baroibeo đi ngủ r,beo,True
vihsd_test_87,0,CLEAN,đọc rất diễn cảm 10 điểm về chỗ,đi,True
vihsd_test_88,0,CLEAN,3 que nên xem khúc này nhá 35:30,3 que,True
vihsd_test_90,0,CLEAN,gần đất xa trời rồi nói ít thôi,nó,True
vihsd_test_91,0,CLEAN,ủa cho hỏi minh hiếu là gái thiệt hay là từ trai sang gái ??? tại hỏng biết,hỏng,True
vihsd_test_93,0,CLEAN,bán hàng rẻ ko thơm lâu thì nói không thơm lâu . nói hàng fake . mắc j quảng bá làm như tốt lắm .,hàng fake,True
vihsd_test_94,0,CLEAN,cái gì cho nó thật tại sao mình là đàn ông biến thành đan bà,biến,True
vihsd_test_95,0,CLEAN,đạt royal bác thật có con mắt tinh đời,con,True
vihsd_test_96,0,CLEAN,"replay thấy mắc mệt, vote đổi ông edit",ông,True
vihsd_test_97,0,CLEAN,nghèo khổ có nhau còn giàu thì sao nhỉ.,nghèo khổ,True
vihsd_test_98,0,CLEAN,cậu vàng đi rồi abe ơi huhu,đi,True
vihsd_test_99,0,CLEAN,chao anh,cha,True
vihsd_test_100,0,CLEAN,"@thanh điệp phan có lý, làm gì có ai vừa chống cs mà vừa chửi ông trump",chống,True
vihsd_test_101,0,CLEAN,cực kỳ thuyết phục🙂,cực kỳ thuyết phục,True
vihsd_test_102,0,CLEAN,nhìn mặt bà này ...,mặt,True
vihsd_test_103,0,CLEAN,tương lai mong sao tùng xẽ ko chịu hiểm hoạ chụp ảnh tự sướng như anh độ ngày xưa😅,sướng,True
vihsd_test_104,0,CLEAN,chửi đáo để thật!,chửi,True
vihsd_test_105,0,CLEAN,bã nc mà cười xĩu,bã,True
vihsd_test_107,0,CLEAN,kiều an đợi bài đom đóm ý bài đấy lyrics có vẻ hay,bà,True
vihsd_test_109,2,HATE,con bé này nên xuống địa ngục quá tởm,xuống địa ngục,True
vihsd_test_110,0,CLEAN,tý nữa việt nam mà thắng thì....😌😌,hắn,True
vihsd_test_111,0,CLEAN,đứa nào bảo quảng cáo sói cho biết tay,đứa,True
vihsd_test_112,0,CLEAN,nghĩ mà chán :)),chán,True
vihsd_test_113,2,HATE,đem ra bắn ngay cái thể loại ấy,thể loại,True
vihsd_test_114,0,CLEAN,hóng bro tét đít thằng tùng,thằng,True
vihsd_test_115,0,CLEAN,minh hoàng nuôi cá trồng rau rồi ai live cho xem 😂😂,nuôi,True
vihsd_test_116,0,CLEAN,sống chậm thôi!!!,chậm,True
vihsd_test_117,0,CLEAN,kicm lúc này,cm,True
vihsd_test_118,0,CLEAN,nhìn rất iphone nhưng lại là mixi,lại,True
vihsd_test_119,0,CLEAN,lạy cô yến 🙏🏽,lạy,True
vihsd_test_120,0,CLEAN,thi thi cmt này hợp lí nè má :)),cmt,True
