text_clean,label_id,label_name,svm_pred,bilstm_pred,phobert_pred,deberta_pred,svm_label,bilstm_label,phobert_label,deberta_label,svm_ok,bilstm_ok,phobert_ok,deberta_ok
Thèm bún real vl :)),0,CLEAN,1,1,0,0,OFFENSIVE,OFFENSIVE,CLEAN,CLEAN,0,0,1,1
Được vl không = ))))),0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Du ma tu thg cho giu xe den thg suc vat chuyen hanh ly,2,HATE,2,0,2,0,HATE,CLEAN,HATE,CLEAN,1,0,1,0
"ở minh bi đc vao vien khám , con ở bọn nc thấy bao la phat triẻn thi ve nha tự cách ly",0,CLEAN,2,2,0,0,HATE,HATE,CLEAN,CLEAN,0,0,1,1
Đéo phải đá vs MC chả cười?,1,OFFENSIVE,0,1,1,1,CLEAN,OFFENSIVE,OFFENSIVE,OFFENSIVE,0,1,1,1
Lên vl luôn,0,CLEAN,1,1,0,1,OFFENSIVE,OFFENSIVE,CLEAN,OFFENSIVE,0,0,1,0
Nơi nào mà cũng được như thế thì có lý do gì mà con đân việt nam phải sang nước ngoài sống .,0,CLEAN,0,2,0,2,CLEAN,HATE,CLEAN,HATE,1,0,1,0
hỏng khóa hay gì :vv,0,CLEAN,2,1,0,0,HATE,OFFENSIVE,CLEAN,CLEAN,0,0,1,1
Dơ vcl,1,OFFENSIVE,2,1,1,1,HATE,OFFENSIVE,OFFENSIVE,OFFENSIVE,0,1,1,1
qua học trình độ chặt cây mà ko bị dân chửi của trung quốc.,0,CLEAN,2,2,0,0,HATE,HATE,CLEAN,CLEAN,0,0,1,1
"Thế là tự các ông suy ra chữ thiên đường, tự nhét chữ vào mồm chứ đảng ko nói đúng ko",2,HATE,1,1,2,2,OFFENSIVE,OFFENSIVE,HATE,HATE,0,0,1,1
share bài này là lũ ban cắn chết nên thôi :))),0,CLEAN,2,2,0,2,HATE,HATE,CLEAN,HATE,0,0,1,0
Ráng sống diễn hài cho mấy con coi nhé bác TD,0,CLEAN,2,0,0,0,HATE,CLEAN,CLEAN,CLEAN,0,1,1,1
Nhung ơi la nhung,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Lí do lí trấu, chắc tin😏:)))",1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
Và thằng ko có 500 triệu đang viết stt bôi xấu thằng có 500 triệu,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Bốc sư tất nhiên là xạo quá ròi tất nhiên là súng bắn không tói ông nhưng tất nhiên rằng corona tất nhiên là sẽ tới thăm viếng bốc sư tất nhiên,2,HATE,0,0,2,0,CLEAN,CLEAN,HATE,CLEAN,0,0,1,0
Ai theo đạo râu xồm thì giơ tay? Hãy theo Minh giáo chủ sẽ được lên thiên đường XHCN!,2,HATE,2,0,2,2,HATE,CLEAN,HATE,HATE,1,0,1,1
Cái đờ cờ mờ nhà a,2,HATE,1,1,2,1,OFFENSIVE,OFFENSIVE,HATE,OFFENSIVE,0,0,1,0
Bê đê hả,0,CLEAN,0,1,0,1,CLEAN,OFFENSIVE,CLEAN,OFFENSIVE,1,0,1,0
Nghe tên ad đã biết ad không phải dạng vừa rồi :3,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
cái miệng rộng qua đẻ con ra còn lọt,1,OFFENSIVE,2,1,1,1,HATE,OFFENSIVE,OFFENSIVE,OFFENSIVE,0,1,1,1
"Chị em nào “ đến tháng” mà đau bụng dữ dội, đau trời long đất lở, đau héo mòn thân xác... Ib em để hết đau mãi mãi luôn nhé. 💕💕",0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Túm lại: Muốn giết người mà vẫn vô tội hoặc án gãi ghẻ thì phấn đấu làm cán bộ đi.,2,HATE,2,0,2,1,HATE,CLEAN,HATE,OFFENSIVE,1,0,1,0
R.I.P Anh thị bò dát vàng,0,CLEAN,2,2,0,2,HATE,HATE,CLEAN,HATE,0,0,1,0
Phát Thịnh thầy tui như thằng xì ke.,2,HATE,0,2,2,0,CLEAN,HATE,HATE,CLEAN,0,1,1,0
Gai tre,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Chi oi chi chua gap bac ky dau .chi ma gap roi chi khong con kip keu mot tieng troi dau chi ak.it nhat chi cung nghi den nguoi nha chi chu.chi o dai loan ma chi dang noi tieng viet ma .chi tu chui minh thoi.nguoi ta khong xem chi ra ji nen nguoi ta goi noi vay thay loi xi nhuc do.,2,HATE,0,0,2,0,CLEAN,CLEAN,HATE,CLEAN,0,0,1,0
May bede ma rau thay on,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Thêm cái gì mà thêm. T đếch thèm qt đến vì chưa có thông báo nghĩ học 🙈,1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
Mis Nhung,0,CLEAN,2,2,0,0,HATE,HATE,CLEAN,CLEAN,0,0,1,1
Kiểu như bác nói ẩn ý là việt nam không sợ bố con thằng nào chứ dăm ba con virut này thì có tuổi với VN à :v,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Đạt Phạm dcu m đùa dai như tk bố m thế,2,HATE,0,2,2,2,CLEAN,HATE,HATE,HATE,0,1,1,1
Tin Tin nên về làm taxi nhe đồng chí.,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Cô hồn nha mấy đứa,0,CLEAN,2,0,0,0,HATE,CLEAN,CLEAN,CLEAN,0,1,1,1
Đẳng cấp đấy nhưng ý thức hơi kém,1,OFFENSIVE,1,2,1,2,OFFENSIVE,HATE,OFFENSIVE,HATE,1,0,1,0
;))) n đã mất công phạt . Thì phạt hẳn 100-200 rảnh đéo đâu phạt 10-20k làm gì mất công vl .,1,OFFENSIVE,0,2,1,0,CLEAN,HATE,OFFENSIVE,CLEAN,0,0,1,0
Chị ba hot girl s lại có cây cơ 9 giữa 😥,0,CLEAN,2,2,0,2,HATE,HATE,CLEAN,HATE,0,0,1,0
T đang nhìn clgv 🙂,1,OFFENSIVE,1,0,1,0,OFFENSIVE,CLEAN,OFFENSIVE,CLEAN,1,0,1,0
Lê Quỳnh Anh mỗi nước có 1 quan điểm sống. Chê bọn tây làm gì haha.,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Chuyển qua insta thì hack bằng lol,bằng niềm tin",1,OFFENSIVE,0,1,1,1,CLEAN,OFFENSIVE,OFFENSIVE,OFFENSIVE,0,1,1,1
Những thằng đầu cua như em cảm thấy video rất bổ ích,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
có cái DB bố mày tin ấy,1,OFFENSIVE,0,1,1,1,CLEAN,OFFENSIVE,OFFENSIVE,OFFENSIVE,0,1,1,1
Thầy lol chúc chỉ có rớt,2,HATE,2,1,2,0,HATE,OFFENSIVE,HATE,CLEAN,1,0,1,0
Sốt là bị bệnh hả m.n,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Quang Hung Vu thấy mấy bạn du học sinh kêu trên Facebook là bên ý đéo đeo khầu trang.bị bệnh tự ở nhà cách li :))),0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Khi buồn mình chơi lớn đi nghĩa vụ và giờ muốn ra cx éo đc,1,OFFENSIVE,0,1,1,0,CLEAN,OFFENSIVE,OFFENSIVE,CLEAN,0,1,1,0
Ở Việt Nam! Nó là cái l đó,1,OFFENSIVE,0,2,1,1,CLEAN,HATE,OFFENSIVE,OFFENSIVE,0,0,1,1
Sniper ...,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
không khí đạt chất lượng như hôm nay cũng là nhờ sự tài tình của đảng ta ! đó là mang những nhà máy nhiệt điện than cổ lổ sỉ từ người anh em phương Bắc về phục vụ bà con ! bà con cám ơn đảng và nhà nước chưa ?,2,HATE,2,0,2,2,HATE,CLEAN,HATE,HATE,1,0,1,1
Chắc do đi đái quên chưa kéo quần ngoài vội quá nên kệ mẹ thế đi ra 😞,1,OFFENSIVE,0,1,1,1,CLEAN,OFFENSIVE,OFFENSIVE,OFFENSIVE,0,1,1,1
Chết mất :))),0,CLEAN,1,1,0,1,OFFENSIVE,OFFENSIVE,CLEAN,OFFENSIVE,0,0,1,0
Quốc sư phải khỏe để lãnh đạo 3/ chứ ko thì 3/ biết đi đâu về đâu 😭😭,0,CLEAN,0,2,0,2,CLEAN,HATE,CLEAN,HATE,1,0,1,0
"ông có tuổi rùi! cố giữ gìn sức khỏe, thỉnh thoảng tấu hài bà con coi là zui rùi! mà giác ngộ vầy là tốt rùi, chứ nhìu ông già 3/// cố chấp lắm",2,HATE,0,0,2,2,CLEAN,CLEAN,HATE,HATE,0,0,1,1
Cà khịa,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
mắc mợt á :<,0,CLEAN,1,0,0,1,OFFENSIVE,CLEAN,CLEAN,OFFENSIVE,0,1,1,0
vào r chứ sắp à,0,CLEAN,1,1,0,0,OFFENSIVE,OFFENSIVE,CLEAN,CLEAN,0,0,1,1
mong cho nó trút moẹ tro vào quần !,1,OFFENSIVE,2,0,1,2,HATE,CLEAN,OFFENSIVE,HATE,0,0,1,0
Phải treo cổ chúng nó lên thì may ra .....,1,OFFENSIVE,2,0,1,1,HATE,CLEAN,OFFENSIVE,OFFENSIVE,0,0,1,1
"Con này nó rảnh, nói gì kệ nó",0,CLEAN,2,2,0,1,HATE,HATE,CLEAN,OFFENSIVE,0,0,1,0
Vẫn là chị nhung,0,CLEAN,2,2,0,0,HATE,HATE,CLEAN,CLEAN,0,0,1,1
Nhờ thầy mà em cảm thấy mình không phải là đứa chơi ngu nhất liên minh,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Con này nếu một ngày thằng Đài Loan nó đuổi, thì nó đi đâu",0,CLEAN,2,2,0,2,HATE,HATE,CLEAN,HATE,0,0,1,0
"Kệ đi thớt , 1 lũ trẻ trâu",2,HATE,2,1,2,2,HATE,OFFENSIVE,HATE,HATE,1,0,1,1
"Một câu chuyện cổ tích rất hay được sáng tác bởi công an Việt Nam. Giỏi lắm các chiến sĩ vì nước quên dân, vì thân phục vụ.",2,HATE,0,2,2,0,CLEAN,HATE,HATE,CLEAN,0,1,1,0
Dạo này a lọt top show chart chỉ sau 20 du khách hàn quốc thôi đấy. Chúc mừng a,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Người dân việt nam nai đeo hột xoàn rồi bạn ơi vàng là cái gì chỉ để cho mấy người thu nhập thấp thôi bạn ơi,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Hãy để lạnh trước khi sử dụng, tránh ấng truc tiep mat troi",0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
"Nền giáo dục phương tây đã dạy gì cho những \""ai kia\""☹️. Nghĩ nó chán, sang chảnh mà ý thức l0l😑",1,OFFENSIVE,2,0,1,1,HATE,CLEAN,OFFENSIVE,OFFENSIVE,0,0,1,1
Cái vấn đề mà tấc nhiêng mà ...,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Đang bận đớp và chăm sóc bụng bầu nha-k rảnh lo chuyện tào lao,0,CLEAN,1,0,0,1,OFFENSIVE,CLEAN,CLEAN,OFFENSIVE,0,1,1,0
Đợi làm gì cho phí tuổi thanh xuân /v\,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Cút,1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
"nó viết stt rõ ngu, ở đây ông PA và những người khác không được trả lương để đi từ thiện mà họ còn tự bỏ tiền túi cho những chi phí liên quan, còn mấy ông bộ đội CBCS này ăn lương nhà nước thì đây là trách nhiệm họ phải làm, xin nhấn mạnh là bắt buộc p",2,HATE,0,2,2,2,CLEAN,HATE,HATE,HATE,0,1,1,1
cà khịa cực mạnh 🤣,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Thằng to nó núp chứ bạn,0,CLEAN,1,2,0,0,OFFENSIVE,HATE,CLEAN,CLEAN,0,0,1,1
Tập Cận Bình qua Mĩ cũng bị dân TQ bên đó treo băng rôn biểu tình chửi như chó =)),2,HATE,0,2,2,2,CLEAN,HATE,HATE,HATE,0,1,1,1
Ông nói clg nghe cũng thấy hay :)) đợi concard :)),1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
Gan trời =)))),0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Ad viết tắt từ gì đấy. Ai cho e bite đc k ạ,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Thúi nát.,1,OFFENSIVE,0,1,1,0,CLEAN,OFFENSIVE,OFFENSIVE,CLEAN,0,1,1,0
dlv đây chỉ là trường hơp ngoại lệ k tính :v,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Ng Tuấn Châu uầy gắt vđ,1,OFFENSIVE,0,0,1,1,CLEAN,CLEAN,OFFENSIVE,OFFENSIVE,0,0,1,1
"Cứ chờ xem , chưa nói đc gì chứ ngày thu 10.000ty chứ ít méo đâu",0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Dang Khoa Nguyen từ đâu có khái niệm suy một người ra nguyên đất nước z :)),0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Viết Phúc ò ông lại tưởng m xl quá nên nó khg cho 😌😌😌.... Hụ hụ,2,HATE,0,2,2,0,CLEAN,HATE,HATE,CLEAN,0,1,1,0
Phan Linh đb ct có lm j đâu ? Mà ss chán,1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
Cô 3 vàng ngọc cho con xin mấy cái hột xoàn đi .,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Co thang ao xanh ben toa no vui no cuoi kia,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
"Trung quốc hóa việt nam ah. Không đủ trình độ mà xuất khẩu lao động cho cả các thị trường khó tính như Nhật, Úc... sao.",0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Trân Thanh My thế chết con cái nhà người ta ak bác ơi,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"nhìn cái mỏ giống cái L quá, cho nên mở miệng ra là L kg hà.",2,HATE,0,1,2,0,CLEAN,OFFENSIVE,HATE,CLEAN,0,0,1,0
Nham lôn quá,1,OFFENSIVE,2,1,1,0,HATE,OFFENSIVE,OFFENSIVE,CLEAN,0,1,1,0
ba lỗ quần đùi chơi thêm quả tóc vuốt,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Đụ Má...... Con bede sấu nhất quả đất,2,HATE,1,1,2,2,OFFENSIVE,OFFENSIVE,HATE,HATE,0,0,1,1
"Cẩu quan thì luôn có những sáng kiến dị hợm, mà ko biết chúng có biết chữ để đọc báo ko?",2,HATE,2,0,2,2,HATE,CLEAN,HATE,HATE,1,0,1,1
nếu xâm nhập nhưng kô lấy cấp thì kô nặng đâu nhé !,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Không hiểu sao chứ nhìn chỗ này thấy cute vcl 😁,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
VN đóng hộp gửi sang nước k ngột ngạt thôi,0,CLEAN,2,2,0,0,HATE,HATE,CLEAN,CLEAN,0,0,1,1
Lina Bui dk ra đời vào năm 2k3,0,CLEAN,1,0,0,0,OFFENSIVE,CLEAN,CLEAN,CLEAN,0,1,1,1
học trò lol,2,HATE,1,2,2,2,OFFENSIVE,HATE,HATE,HATE,0,1,1,1
thế nên cập nhập tình hình Corona của Việt Nam thì tốt hơn. page xàm đế bỏ fl đi mọi người ơi,2,HATE,0,0,2,2,CLEAN,CLEAN,HATE,HATE,0,0,1,1
Được vl anh ưiii,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
"hãy hô vang câu ""Đảng Cộng Sản Việt Nam Quang Vinh Muôn Năm"" và điều kì diệu sẽ xảy ra... :D",0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Quảng cáo tinh tế v,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Chị nói chuyện mà em cung de sợ thuốc có tác dụng tang mở bụng mà cái bụng chị ít có mở dữ 🤣🤣,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Diễm Quỳnh gét burn real vãi l,1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
"Như đã hứa, Thầy công bố danh sách người trúng GA hôm qua nhé!",0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Hỏi b ý xem có đi tiếp xúc với chị nhung gì k đó k mà thấy bị lây óc tó thể hiện qua lời phát biểu như v,2,HATE,0,0,2,2,CLEAN,CLEAN,HATE,HATE,0,0,1,1
Dm vô cách ly chứ có phải sống trong lâu đài đâu muốn dc sung sướng..ngta còn phải phục vụ cơm cho ăn tận miệng còn cà chớn ..muốn m sống mới cách ly chứ muốn m chết đã kệ mẹ rồi m,2,HATE,1,1,2,2,OFFENSIVE,OFFENSIVE,HATE,HATE,0,0,1,1
Chỉnh lại ông bô. Xe với trả cộ ẩu vl,1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
Con này nhin thấy ghê vậy mà ăn cái gi,0,CLEAN,1,1,0,2,OFFENSIVE,OFFENSIVE,CLEAN,HATE,0,0,1,0
"Nghe câu ""tất zien"" mà mệt óc",0,CLEAN,0,1,0,1,CLEAN,OFFENSIVE,CLEAN,OFFENSIVE,1,0,1,0
Chí quá thầy ơi,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Con luôn tin tưởng Đảng, nhà nước và nhân dân đồng lòng.",0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Lê Trọng Nghĩa Phục làm gì bạn? Phục xong về hít bụi mịn, ăn đồ trộn hoá chất, hộ chiếu chỉ đi được Châu Phi với Đông Nam Á như bạn hả?",1,OFFENSIVE,0,2,1,2,CLEAN,HATE,OFFENSIVE,HATE,0,0,1,0
Chặt cái đầu heo nó xuống,2,HATE,1,2,2,0,OFFENSIVE,HATE,HATE,CLEAN,0,1,1,0
NT Lý nhìn mặt xem vui k,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
Nguyễn Thuận =)) tư tưởng rừng rú gì v,2,HATE,2,0,2,0,HATE,CLEAN,HATE,CLEAN,1,0,1,0
Cây bút hình con cu à :>>,1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
Nó chuẩn bị dizz thầy thật r thầy Ba ơiiii =))),0,CLEAN,1,1,0,0,OFFENSIVE,OFFENSIVE,CLEAN,CLEAN,0,0,1,1
"Dạo này bệnh lợn tả châu phi tạm yên !! Bây giờ lại bắt đầu bệnh bò điên hoang tưởng , rối loạn phân liệt ông giáo ạh ! Thế có nguy ko chứ",1,OFFENSIVE,2,2,1,2,HATE,HATE,OFFENSIVE,HATE,0,0,1,0
Bớt ảo tưỡng đi,1,OFFENSIVE,0,0,1,0,CLEAN,CLEAN,OFFENSIVE,CLEAN,0,0,1,0
Nguyễn Đăng Dự,0,CLEAN,0,2,0,0,CLEAN,HATE,CLEAN,CLEAN,1,0,1,1
"Mai Hieu đúng r anh, số chết thì nằm trong nhà cũng chết 😶😶",0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
Emma Nguyen vậy mà ca ngợi bên kia lắm... Về làm lol gì,1,OFFENSIVE,2,1,1,2,HATE,OFFENSIVE,OFFENSIVE,HATE,0,1,1,0
Người mù =)),0,CLEAN,1,0,0,0,OFFENSIVE,CLEAN,CLEAN,CLEAN,0,1,1,1
Đức Toàn ổng đưa link của garena thì liên quan mẹ gì mất acc?,0,CLEAN,0,1,0,0,CLEAN,OFFENSIVE,CLEAN,CLEAN,1,0,1,1
"Tội refund vãi lúc 2018 hot vcl ra cái qau trận hôm nay devine kéo top 3 cái fan vietnam sang ủng hộ devine rồi chửi refund, SGD và anh độ chơi gà",0,CLEAN,0,1,0,1,CLEAN,OFFENSIVE,CLEAN,OFFENSIVE,1,0,1,0
Căn bản nhà nc k làm dc như thế. Các chú bộ đội hay 1 ban ngày có đi làm vì lệnh phát ra trên đồn xuống chứ ai bão gió lũ lụt chịu đi ăn tiền dân nhận tiền thuế phải vậy kêu ca gì,0,CLEAN,2,0,0,0,HATE,CLEAN,CLEAN,CLEAN,0,1,1,1
Chả hiểu phong cách ở đâu nh mà lố lăng vch 🙂,1,OFFENSIVE,1,0,1,1,OFFENSIVE,CLEAN,OFFENSIVE,OFFENSIVE,1,0,1,1
