id,texts,label_original,label_gemini
574,Má người ta chi cả tấn tiền mong cho đẹp để được chụp hình mà mày ko cho. Thứ âm binh chó **.,1,2
575,"Thiên đường của dân tị nạn mà, bọn da trắng củng ko phải TS gốc đâu",1,0
576,Lũ thổ tả đốt tiền để truyền bá chủ nghĩa thổ tả chứ mấy cái đống này cầm chắc lỗ rồi.,1,1
577,Clgt cái gì đắt thế,1,0
578,"Thằng loser dbrr ngày ngày vẫn lên đây xàm lol thì đời mày không khá được đâu, phế vật",1,2
579,"Sau này đẻ con gái cho nó đi uốn éo từ nhỏ ấy, học hành làm cmg.",1,0
580,"Đúng thì trước khi ký hợp đồng tuyên bố cấm bia rượu đi mấy thằng fifa mất dạy thật, đúng kiểu lộ mặt thật của bọn phương tây.",1,1
581,Bóng k vào vòng cấm được vờn vờn cái đb. Thủ dâm ghê thật.,1,1
582,"haiz thay đổi bản thân, nhưng mình chỉ là 1 hạt cát nhỏ giữa sa mạc, đéo có tiếng nói, thay đổi bản thân cở nào đi nữa cũng là sống thoi thóp bị tụi khốn nạn ở trẹn ăn trên đầu trên cổ á thím, 1 cánh én đéo thể nào làm nên mùa xuân,",1,1
583,Nghe mà thấy nhục thay.,1,0
584,"Nó đứng product thuê VN làm culi code là hiểu rồi, khi nào ngược lại hẵng nói, đến cái Zalo quốc dân mà còn phải source Tàu, tội mấy anh ở trên thủ dâm anh này giỏi anh kia giỏi, khi nào đứng product thuê IT Ấn làm culi code thì hãy nói, 1985 Nhật đã có product game Mario mà bây giờ đám culi code VN làm còn đéo được, cười ỉa thật sự với đám culi code ở trên, ếch ngồi đáy giếng",1,2
585,Cả nước biết con chó xám thiếu nợ 80k. Thặc là vice lone =]],1,2
586,"Anh ngu gấp đôi chủ thớt, chủ thớt đi có 30km thôi, anh tận 60km mà.",1,2
587,rồi về già éo có đất cũng chả có cc luôn,1,1
588,"Thôi thôi, dm cuối tháng cầm 6-70m, ae làm chầu bia còn khoẻ thì chiến tiếp đá phò mát xa. Vui vui rủ nhau đi chơi xa. Đm lều báo.",1,1
589,Vkl.Cái accout này từ 2011.Sao set member là thế nào vậy 2k post của mình đi tong mẹ rồi,1,1
590,"Sủa cc gì vậy, thôi đừng quote t pls",1,2
591,thì bọn thủ dâm tinh thần chứ gì nữa sức mạnh đâu đéo thấy toàn thấy thằng này thằng kia thuyết âm mưu mõm rồi cả đám bu vô tuyên truyền thủ dâm nhau,1,1
592,Vl thằng Shaw... nó mập như con lợn vậy,1,2
593,"Chấp gì thằng cận đụt trĩ hả a, nhìn mặt nó đủ biết loại ở đáy XH rồi",1,2
594,"Mafia thứ thiệt như Vũ nhôm, út trọc... dân đen cả đời chắc còn đéo thấy mặt",1,0
595,"Dân Việt mình chưa đủ toxic, tẩy chay chưa tới, dễ đến dễ quên. Cần có những chế tài xử lý thật mạnh với các đối tượng vi phạm đạo đức, luật pháp nghiêm trọng Toàn phò phạch, svbdbctlhc, nghiện ngập, ông hoàng bà chúa lên nói đạo lý, tẩy trắng, làm những trò con bò lố bịch, tốt đời đẹp đạo thối đéo chịu được",1,1
596,"lỡ mồm tý bị nó dí quá phen Hỏi lại rồi, đéo dời đũa, đéo rén thì mất 50tr à hehe mõm chứ đâu có ngu",1,1
597,"vấn đề lũ nhà báo ngu, sai lè lè ra mà cố viết thành một bài báo tung hô cho bằng được.",1,1
598,Ông này hiểu bản chất này. Ông bán mật rẻ hơn cả nhà máy gom bởi mật đấy nhà máy nó méo gom Cái mật tràm của ông bị đi quảng cáo là mật rừng nhiều lắm đấy. Bố khỉ tụi gian thương. Bữa gặp 1 lão lấy mật tràm rồi bảo mật bên miên bán 1tr5/lit. Tí nữa tôi táng cho vào mỏ,1,1
599,"thằng lều báo ngu như chó, bỏ 2-3 tỉ của nó to quá, SG 4,5 tỉ giờ mua được nhà hẻm gần gần trung tâm, xe oto còn đóe vào được nữa chứ ở đó có ccc mà chỗ đậu.",1,1
600,"Óc chó cãy cùn, tao ngồi xem chúng nó chửi nhau chỉ thấy mày là thằng ngược ngu nhất haha",1,2
601,Chưa gì đã muốn làm osin Chưa là người yêu của nhau thì ông mua làm cc gì ?,1,1
602,"Nó đã nói thế này thì cho về nơi sản xuất được rồi, đã ngu còn cố chấp.",1,1
603,"Tào lao. Éo ai bóp tw cả. Lý do gì mà bóp? Trump bị dập vì vụ capitol, còn tw đéo có ccc gì cả",1,1
604,vcloz. Đáp con mẹ thằng này đi thôi bác ơi,1,1
605,Con bé này dâm vkl,1,1
606,"Mấy con nứ đớp cũng ngập mồm chứ ở đó mà ko biết, làm hiệu trưởng mà ko biết thì nghỉ mẹ đi.",1,1
607,Ai rảnh có mấy thằng chó lều báo bới cứt tìm đồ ăn chứ ai rảnh mà la ó,1,1
608,"tổ sư thằng Văn, mấy em nhỏ mà chúng nó tổ chức ngu rồi nó vẫn thở ra cái câu thế này",1,1
609,Dell chỉ vozlit mà kể cả voz tay to cũng chỉ biết ngậm ngùi,1,0
610,Đọc qua bài viết thấy thớt có vấn đề thần kinh hơi ( nói thẳng ra là ngu ) .,1,2
611,Viện hoàn mỹ bình phước là chi nhánh của thằng hoàn mỹ sài gòn à... Giờ nó lôi cả bệnh nhân cấp cứu ra ăn chia thì ghê nhỉ... Thí tốt mấy thằng bv là xong.. các con giời tiếp theo lao vào mà đưa cổ cho nó cắt tiếp,1,1
612,Nói đi cũng phải nói lại là cái hệ thống đèn giao thông ở HN nó ngu vc,1,1
613,"Anh lại khéo văn vẻ, ý là sale là cái nghề đéo có tự trọng thì nói mẹ ra",1,1
614,Cái này mà cũng ghi ra à ? Tham gia voz đến khi nào não dày thêm thì tự ngộ thôi. Thẳng rảnh háng cứ tưởng mình hay.,1,2
615,"Đúng xứ lừa, tước gpkd mẹ 1năm nghe còn tạm được, 3tháng bõ bèn gì?",1,1
616,"Thằng đầu khấc nào lấy thông tin của mình đi đăng kí là người thân của nó, bây giờ bọn FE Credit đòi nợ nó ko được hay sao cũng đe'o biết.",1,1
617,"Trường hợp năm nay ko vô địch được thì cũng là tại mình. Nghĩ sau này mấy thằng Nhà hát kia nó bảo ""Không nhờ bố mày cầm chân MC cho thì nhà mày cũng ăn bùn thôi, lấy đéo đâu vô địch NHA"" thì tôi cũng cay lắm. Kệ mẹ chúng nó cắn nhau, việc của mình là thắng tối đa các trận còn lại.",1,1
618,"thế thì cả nước mới không sở hữu nhà, mới thuê nhà cả lũ, mua trả góp cả đời. Như thế mới là xã hội công bằng theo 1 số thằng bất mãn cuộc đời",1,1
619,"Dkm công kích cá nhân, dám lấy ảnh ng khác đăng lên luôn, dkm th gay lọ tởm lợm, đã gay còn đóng vai ác.",1,2
620,"Cái đó là mất dạy, khôn lỏi, ăn cháo đá bát. Đó người khác sẽ nói vậy.",1,0
621,"lại mấy thằng xl sợ dầu/xăng tăng, đm tụi m chứ ko sợ, năm ngoái dầu ổn định có 14-15, giờ gần 30, cùng 1 khoảng đường tiền nhiên liệu x2 mà không quan tâm ?",1,1
622,"dm hết giãn cách rồi mà còn đòi giảm tới 60% giá tới tận tết, mày cũng chừa cơm cho chủ nhà với chứ, tao mà là thằng chủ đất tao đuổi cổ luôn rồi",1,1
623,"Chẳng có nếu đâu nhé, thanh bùi ko dại chọc vào c*t Nghệ sĩ có 5-7 loại 1 lũ bê đê gay lọ biến thái suốt ngày lên tivi nói đạo lý ko chửi hơi phí Thêm con chuyển giới nam -> nữ đi dạy ng khác giữ chồng Con ml hát ko ra hơi đi hát nhép tự nhận ca sĩ....",1,2
624,"rất đơn giản, gọi chủ thầu đến, hỏi nó : ""được mắt ta ra mắt người, thế dm nhà mày lát thế này mày có chịu được không mà mày làm cho người ta như vậy ? mày nhận tiền mày không thấy xấu hổ với lương tâm à ? giữ tiền đéo cho làm tiếp nữa, gọi thầu khác vào thi công tiếp. đây là cách ông già em đã xử lý khi nó làm cho nhà em cái nền nhà bộp bộp",1,1
625,"chư mà đá xong trận này cho bên MC, chư cứ spam ""cay"" cho mấy thằng ATM muốn sủa gì thì sủa",1,1
626,Riêng hút cát thì phải từ chỉnh... xã huyện chả có quyền vẹo gì.,1,0
627,trọng tài thiên vị vãi. Làm xấu mặt mấy thằng Trung Đông,1,1
628,giá như bệnh nhân ung thư nào cũng yêu đời như pier thì hay biết mấy. Toàn thằng không làm mà đòi có ăn thì ăn đb ăn cứt nhé,1,1
629,"""Nhà tao tóc bạc do di truyền nha thằng lol"" - lãnh đạo said",1,1
630,"Bọn Tây lông này lắm trò điên vãi, còn bộ môn nhảy cầu gì nhìn cũng kinh bm ra",1,1
631,Post đúng 1 cái cmt đó vào đây xem sao? Hay nói đéo đúng nên đéo dám post? Thứ ngu lại còn hoang tưởng!,1,2
632,"Tính thì tính cho hết, hỏi hỏi cl",1,1
633,"thế éo nào tôi uống thấy ko bằng bud nhôm, ko bằng 333",1,0
634,"phế vật cavani cả năm đá được 2 3 trận từ dự bị mà mấy thằng fan ngu khen đấy khen để, chẳng hiểu nổi , lương thì 250k/ tuần cho 1 ông già sắp hết hơi,chẳng hiểu mấy thằng mu làm gì nữa",1,2
635,"Làm vui thôi mà, các ông không thích xem thì đừng vào. Dm súc sinh nào rp",1,1
636,"mấy thằng bò đỏ như mày thì cút, đừng quote tau.",1,2
637,"Tào lao, dân nghèo tiền hỗ trợ covid còn đéo có mà yên lòng mẹ gì, vấn đề là đám ôm BĐS rất giàu nên cần phải moi tiền thuế nuôi bộ máy",1,1
638,"12 tiếng là nghỉ thứ 7 chủ nhật rồi đó. Đi làm culi mà nghỉ cả thứ 7 khác đéo gì cưỡi ngựa xem hoa. Nếu nó làm thêm thứ 7, chủ nhật thì x2 lên, làm đêm mà còn thứ 7 CN thì cứ x3.",1,0
639,Thằng tàu đánh đl ăn cám vận 1 tỉ cái miệng ăn đói là nó tự loạn chứ có gì đâu. Chắc không quá 1 năm tính từ thời điểm phang đài loan. : )),1,0
640,dm đá hay cả trận thua quả nhảm lồng,1,1
641,Đ* m* tôi đọc báo mô tả chi tiết cách bọn nó hành hạ con bé mà giận run người. Bọn khốn nạn đừng nên cho nó sống và phải bắt bọn nó chết theo cách đau đớn nhất mới đúng.,1,1
642,Mấy thằng kia đéo đọc bài à? Ý đây nói là các khu công nghiệp có nhà ở cho công nhân chỉ đáp ứng được 20% lượng công nhân. Còn 80% công nhân phải ra ngoài thuê trọ ở khu dân cư bên ngoài.,1,1
643,"Đám fan theo mùa đó mà, giờ bọn nó nghĩ vn dự wc tới nơi rồi ông park đang kéo tầm bóng đá vn xuống đòi đuổi miết. Lũ ngu chỉ có thủ dâm là giỏi.",1,2
644,"tiện thớt của thím xin chửi đm garena, hồi lol mới ra hot, nạp cũng 1 mớ vào mua skin tặng bạn bè, xong 1 hôm đẹp trời có mail gửi về hòm thư 1 đoạn chat thằng lol nào với bên hỗ trợ garena, báo đã đổi thông tin mail và sdt thành công, vào check đúng là bị đổi thật, lên trụ sở ở hoàng hoa thám cho điền các thứ xong cũng đéo hỗ trợ được đm garena phát nữa, đm cả thằng SEA",1,1
645,"Tới phạt chết mẹ nó luôn. Mày làm như chúng ông có mắt như mù, đường hư ko sửa à ? Bố láo thật. Phải học hết trường hết lớp, chạy chọt..ấy nhầm, cống hiến bao năm để lên tới chức này, mới đủ trình sửa đường được nhé. Láo nháo ông cho cái mũ ""chống phá"" chết cụ mày.",1,1
646,Để đến mức bắn chết thì chĂc éo vừa.,1,0
647,Càng def càng thể hiện cái ngu cái cùn à. Ngay cả tây lông văn minh nó cũng bán đầy xe mạnh + làm đường cho xe chạy. Mỗi cung đường đều có giới hạn tốc độ. Còn việc thằng làm xe để thương mại hoá thì nó đạt các chuẩn quy định để lưu thông trên đường là xuất bán được thôi.,1,1
648,"Làm thiết kế, nhưng mà hay bắt lỗi sai chính tả tiếng anh của bọn BA, mà đéo hiểu sao trong 1 cái ảnh 1 từ chúng nó có thể viết sai thành 3 phiên bản được",1,0
649,chúng mày đọc thế cũng tin dc tạo ạ. mấy con bò bị dắt mũi,1,1
650,Cuộc sống ngoài tiền với gái thì còn có cái đéo gì nữa,1,0
651,ĐM cái phim này trả lương cho thằng siêu nhân là hết mịa ngân sách thuê diễn viên rồi hay sao mà cast dàn nữ toàn xấu ói.,1,1
652,Top 10 toàn mẽo ngoại trừ thằng sáu đĩ,1,0
653,"Fan rác, không ở bên thầy lúc thua Inteo thì cũng đừng ăn mừng khi thầy dẫn lũ ngu độn ẳm C2 danh giá",1,2
654,mày có biết ngày xưa trong thớt bđ này tụi nó chửi rủa và bài trừ bet thủ như súc vật không ? mày biết mod quạ ban tao bao nhiêu nick rồi không ?,1,1
655,Thì ai bảo bọn nó khôn đâu? Chẳng qua sinh ra ở vùng đất tư bản giãy chết nên nó mới được vênh váo với đời như thế chứ dân á sang tây thì cướp hết việc trí óc của bọn tây lông (bông) nhá.,1,2
656,"Ở Indo, CA cũng là một lũ khốn nạn. Vì tụi nó bắt tụi tao hoãn giải vô địch quốc gia nè",1,1
657,"Chuẩn đấy toọc ơi. M làm cái cà vẹt đưa lên là nó câm ngay, không mấy thằng Vin nô cứ khinh anh em Anti bọn m là loại nghèo hèn chỉ biết chửi bới, vô học, ko có oto thì câm mồm. T thấy m bị chửi nhiều quá mà cũng thấy ngại lây luôn ý.",1,2
658,"Chúng nó biết thừa, nhưng bọn đấy dù là bộ đội thì vẫn đi làm nhân công rẻ mạt culi cho bọn nó nên bắt làm gì, tốn tiền nuôi cơm tù và bắt hết thì thằng nào làm culi tiếp",1,1
659,Mặt gãy làm 8 mà cũng xinh à? Đm thằng lều báo trap ae t nhé,1,1
660,Xời Giờ đầy thằng vozer nghèo kiết xác vẫn dỏng mõm chửi người giàu đấy thôi Xưa cái gì,1,1
661,"Tôi éo cần tử tế với bọn tâm thần ok, không tiễn mời phắn cho",1,2
662,"Thằng ranh con này là công nhân tập đoàn mà, ko có gì lạ",1,1
663,"Thay chữ ""ông anh họ"" = ""chị họ"" là vozerlit ở đây chúng nó chửi cho lên bờ xuống ruộng, thiền môn thẳng tiến luôn",1,1
664,Thằng thớt bị ngu ah.Nó block m thì liên quan gì đến việc giả nai trong sáng.Hay m muốn nó phải chửi thẳng mặt m mới hiểu vấn đề là nó thấy m phiền phức.Mấy thằng k tán được quay qua chửi như m thì Fa tiếp đi,1,2
665,"Tư tưởng của đa số thanh niên chê bai trên chán đ chịu được, sống là để hưởng thụ, nói như mấy bố thì có 2 mảnh để 10 năm lên 10 tỉ cũng không nên bán vì để 100 năm có khéo nó lên trăm tỉ và mãi mãi thớt đi con xe máy nắng mưa mà chả hưởng thụ dc cái mẹ gì trong khi 1 đống tài sản trong tay. Giả dụ thớt nó nghèo thì chẳng nói đây nhà cửa công việc ổn định làm con xe rẻ rẻ 200 300 đi là ấm vợ ấm con rồi. Cứ tính cái bài toán mua xe lỗ hàng năm mua đất lãi hàng năm thì đi xe đạp là đỡ lỗ nhất xe máy mua xong cũng lỗ bỏ mẹ.",1,1
666,"đụt thì kệ mẹ tui chứ,ý kiến à",1,1
667,Óc chó phát biểu ngu vkl Đẻ thì tư bản giãy chết ăn đứt nhé,1,2
668,Trận này xem đéo biết chửi ai luôn. Trừ thủ môn 10 thằng còn lại ngu như nhau.,1,1
669,PQ tôi đi năm 2021 đã thấy đắt vl rùi ra chợ đêm đéo có cc gì đặc sắc mà đắt như chó hồi đó ngu ngu sao bỏ gần 300k mua trái dừa sáp,1,1
670,"Cho 1 gạch trước cái thói hỗn láo, đọc sau. Đ m mới trớ con mắt ra đời xưng chị với ai vậy.",1,2
671,giờ đập đi xây mới chứ sửa cl,1,1
672,"Vặn thế éo nào đc thằng ôn thần máy ủi đấy!. Đấm nhau với ae hazard còn có cửa chứ ku lu như con khỉ đột, rớ vào nó vã cho lệch mẹ hàm",1,1
673,"Loại mày tư cách đ đâu mà đòi 5 triệu. Ảo tưởng sức mạnh quá đấy. Nhà thiếu i ốt thì mở mồm ra xin, tao cho. Không cẩn thận bướu cổ rồi trí thông minh nó tụt như tụt quần đấy.",1,2
674,Mày thì nhạc thượng đẳng,1,1
675,Tụi mày nghèo có tiền đéo đâu chơi ),1,1
676,"smartkey honda thì ngu thật, chứ yamaha nó làm ngon vl, quên tắt máy đi 1 đoạn nó hú inh ỏi, khởi động vặn phát là lên đi, thằng lol honda làm ra cái củ lol bấm đề nữa phiền vc",1,1
677,"Thẻ đỏ nhảm lol, thằng tài Mã cay cú dân tộc hay sao chứ quả đấy đéo có cơ sở gì để phát thẻ luôn, nó vào trúng bóng rõ ràng và cũng ko hề lao chân vào đối phương",1,1
678,"Vcl đọc đánh giá thì chỉ có thể là thằng ngu mới đưa cái link này, lại còn ""uni thua xa hàng vn"" .",1,2
679,"luật là bố, bố là luật. bớt ý kiến ko bố nhét 331 vào mõm giờ.",1,1
680,mồm tranh luận khoa học logic nhưng 10 post của nó hết 11 post 3/ già nua yếu ớt lảm nhảm,1,2
681,"tháng 3 mình dính 5 tờ, dm buôn bán đồ kim khí thì biết đéo dc nó hoạt động sao. check lúc nó gửi bản nháp thôi chứ nó có hoạt động nữa ko thì bố biết dc. bị gọi lên may mà cũng quen biết nên ko sao, vkl thật",1,1
682,Cái bày là thằng lều cố tình đặt tít lật ngược sự việc lun chứ éo phải là nột nửa sự thật nữa. Cái này thỉ chửi éo oan.,1,1
683,Thế thì là người hướng nội chứ già éo gì,1,1
684,Sao trong luật đấu giá cả thế giới có quy định chung mà mấy thằng ngu cứ tự nghĩ ra những điều khoản như đb xong tưởng mình thông minh nhỉ?,1,2
685,"Mịa, áo sân khách của MU phèn vkl. Éo xứng đáng với tâm thế của đội bóng lớn.",1,1
686,"Shop éo có đánh giá mà cũng mua, óc thì chết thôi",1,2
687,"T thì nghĩ show vì nó đếch biết cái gì thôi Nhà này thằng Giang kỹ chết mẹ ra nên khó mà sụp lắm, đúng kiểu ăn chắc mặc bền, nó cày tiền top mẹ nó cái showbitch rồi, má vl thật, tài năng thì ngắn mà gặp thời cái phất éo đỡ đc.",1,1
688,"Ko có tiền yêu đương ccj, mà con đó cũng gọi là con gấu đc à, biết hoàn cảnh của chú vậy vẫn đòi hỏi, chú nên gọi nó là con dzẫm đi, gấu gấu ccc.2 củ 1 tháng 1 mình còn dell đủ sống, đèo bồng làm ccj, tiền đó ba mẹ cho thì ráng mà tập trung ăn học, làm việc, chỉ cần sau này ví dầy cộm, gái gú dưa rau, thiếu cmnj. Đúng là tấm chiếu mới.",1,2
689,"tại sao 1 thằng trong hang chung ra vin vào cái cớ chính trị chó shit của nó có quyền can thiệp đất cát địa chủ nhiều đời, thậm chí có sự mua bán hợp bán của dòng họ nhiều đời của thằng can thiệp chọn sai thì chọn lại -> nhát -> đánh đổi -> nghiệp của 1 dân tộc -> chấp nhận nhân quả",1,1
690,M thích lói nhiều không? Không lo tập bước 1 đi thằng củ cải này Sang mùa mà flop là thằng Hà Lan nó cười cho,1,2
691,M xạo vừa thôi. VN 1m90 nhung nhúc ngoài đường đầy,1,1
692,Cái đèn xi nhan nhìn ngu thế,1,1
693,Tốt chỗ nào vậy ? Mày làm như thời bao cấp vậy cu ?,1,2
694,"ngờ u thì chết, chửi cái gì? lại còn chửi người khác, luật có đó mua nhiều sao ko đọc? đâu phải tự nhiên mà ngta đẻ ra từ ""nhập lậu"" mấy lần khai gian nhập lậu chót lọt chắc vui lắm giờ quên khai gian nó đánh thuế theo luật lại chửi",1,2
695,"fame dữ lắm , chửi trên voz thì ok , chứ ra fb fan thằng đồi bòi này tế mả lên luôn .",1,1
696,"Nhà tao to hơn nhà nó là được, nhục cái đéo",1,1
697,Người yêu còn đéo có còn bày đặt có con,1,1
698,fdj so với casemiro không khác so cứt vs sô cô la hạng nhất phúc tổ cho Mu ko nghe lời mồm chó vó ngựa mấy thằng tâm thần phân liệt vozer mà mua thằng đần de jong bằng mọi giá,1,2
699,Côn đồ thế này thì 1% thương tích cũng ăn án rồi. Vote xử kịch khung 3 năm tù cho nó chết,1,1
700,"nói có sai đâu, từ ngày giao lưu với thanh niên xứ công quốc cho hút cây rau má là đầu óc bằng đầu có những triệu chứng bất thường, hai đội éo liên quan cách nhau nửa đất nước cũng nhầm, nhưng ko sao, chỉ cần kiên nhẫn nghe bổn toạ văn vở đạo lý là đầu óc sẽ thanh tịnh, chỉ cần đóng 150k tuần 3 buổi là đc",1,1
701,"Vào bưng hóa chất chứ làm cc gì, ko bằng cấp chuyên môn thì đâu cũng vậy",1,1
702,Bọn này dìm hàng phá hoại hãng xe Anh Cuốc à. Có tiền nhận xe ko có tiền nhận xét. Chẳng qua thằng chủ chưa đọc hdsd…,1,1
703,"Tiểu xảo thôi nhưng bây giờ có VAR, bảo 1-2 trận bị VAR bắt chẹt chửi đám Trọng Tài còn đc, đây trận éo nào cũng phải chửi VAR, ngay cả trận trên sân nhà Mỹ Đình thì đủ hiểu cái tiểu xảo của VN lộ và thô vl...",1,1
704,"thôi anh, gáy nữa ăn loz luôn thật đấy.",1,1
705,"Thằng XT bị cái bệnh trịnh thượng , mặt lúc loa nào cũng khinh khỉnh ta đây! Đá thì bao năm đéo khá đc mà thái độ lúc nào cũng như loz . Hồi mới ra thấy nó có vẻ trưởng thành chững trạc này nọ giờ thấy có vẻ bị ảo tưởng bản thân!",1,2
706,"đèn thì đéo có công nghệ gì mà cũng 90 củ, bọn này nó ngáo giá hết rồi ah",1,1
707,"Đm cái răng ngu của tôi nhú đc một nửa 2 năm nay rồi, mỗi lần nhú được một tí là ê ẩm cả tuần chả thiết tha làm cái việc gì khác nữa",1,1
708,cái ac chơi voz cũng 13 năm rồi thì chắc cũng 3x tuổi rồi... mà não Shit thế fen.,1,2
709,"cả vụ lấy tiền của facebook, mấy thằng ăn cắp nó vẫn sống khỏe re, bọn nó ko ra nc ngoài tuoi ti bắt đc, lai còn đòi gây sức ép nn bắt cười ỉa, mấy thằng rồ mẽo",1,1
710,"Đừng có lấy lý do là : ""mang nhà nước ra bảo là ko chăm lo an sinh xã hội"". Cái lý do người ta rút bảo hiểm 1 lần đấy là do an sinh xã hội như cc và người ta éo tin vào cái an sinh bánh vẽ đấy. Ngoài ra, tiền của tôi, ai cho các ông cấm rút, các ông bắt bọn tôi nộp thì đến lúc rút hay ko là quyền của bọn tôi.",1,1
711,"Mày bảo lương bình thường mà. Mày show bảng lương cty mày ra đây bố xem nào? Cần đéo làm kèo? Cái tao cần là số lượng lớn, mày show 1 đứa ra đây ăn lol à?",1,2
712,"Nó giúp xã giao cho có qua có lại thôi, VN cũng chả tới mức cần nó giúp. Cái thằng cơm còn đéo có ăn thì giúp cái gì nổi cho ra hồn.",1,1
713,"Vua việt xưa là học trong anh tàu rep 1:1 học cái tốt cho dân tộc. Chứ bây h khác rồi, cũng học tàu mà học cái dơ bẩn chứ k học cái hay ho",1,1
714,"Thôi bớt xạo lol đi em, thằng nào rảnh đi hack đt thằng phế vật mạt hạng như mày",1,2
715,"Thằng ml này bị Suarez nó chửi cho chả sai, đàn bà vcc ra. Thằng này lắm mồm từ xưa rồi",1,2
716,ngu. Dân tộc thì liên quan card gì mà đòi xua quân. Với thời đó làm gì có khái niệm dân tộc chủng tộc. Việt Nam cũng là một chi của Việt mà ra. Éo phải thì bao đời lấy chữ Việt là gì. Việt Nam may mắn là đám duy nhất đám dân việt độc lập và sống tách hẳn trung hoa.,1,1
717,"chưa đúng kịch bản lắm nhưng đã có kotex cho tot gà, dm kinh nghiệm của trư mà, thấy có mùi thằng tot làm kinh tế trận này rồi, h1 làng chết ngã rạ, còn tot -1.25 cả trận cũng sắp đem chôn",1,1
